CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1139288,72 STREET,RIDGE BOULEVARD,BROOKLYN,310,5907,6,311-12566985,11/22/2022,Yes,12/06/2022,Other,No,,No
1096558,1 AVENUE,EAST 87 STREET,MANHATTAN,108,1567,1,311-20830951,11/16/2024,No,,,No,,No
1005061,BECK STREET,EAST 151 STREET,BRONX,202,2685,123,DOT-452167-H0P9,02/21/2020,No,,,No,,No
1136831,14 AVENUE,BATH AVENUE,BROOKLYN,311,6424,42,311-01904968,02/24/2020,No,,,No,,No
1086267,DELANCEY STREET,FORSYTH STREET,MANHATTAN,103,420,1,311-11995111,10/04/2022,No,,,No,,No
1171059,DUANE STREET,HUDSON STREET,MANHATTAN,101,144,7501,311-11575964,08/30/2022,No,,,No,,No
1135806,BAY 43 STREET,CROPSEY AVENUE,BROOKLYN,313,6933,55,311-16545533,11/10/2023,No,,Asphalt Ramp,No,,No
1027601,72 STREET,NYCTA SUBWAY,QUEENS,403,1282,149,DOT Internal,08/22/2023,Yes,09/06/2023,Other,No,,No
1132923,AVENUE V,OCEAN PARKWAY,BROOKLYN,315,7132,41,DOT-389364-S7G5,09/11/2018,No,,,No,,No
1097110,EAST 62 STREET,MADISON AVENUE,MANHATTAN,108,1376,51,311-16979943,12/18/2023,Yes,12/20/2023,Other,No,,No
1137647,12 AVENUE,79 STREET,BROOKLYN,310,6266,38,DOT Internal,11/12/2019,No,,,No,,Yes
1130804,AVENUE P,KINGS HIGHWAY,BROOKLYN,314,6766,51,311-01956357,03/02/2020,Yes,03/19/2020,Other,No,,No
1032662,65 ROAD,BOOTH STREET,QUEENS,406,3099,7,DOT-646689-B1M3,04/29/2024,Yes,05/21/2024,Other,No,,No
